[INFO ] 2024-07-25 17:38:00,944 framework.utils.initializers.TestInit - *** Test Suite SpamApiAutomation started ***
[INFO ] 2024-07-25 17:38:01,005 framework.utils.LogUtils - Excel Path: src/main/resources/spamTestData.xlsx
[DEBUG] 2024-07-25 17:38:01,289 org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
[DEBUG] 2024-07-25 17:38:01,304 org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
[INFO ] 2024-07-25 17:38:01,977 framework.utils.LogUtils - Row: 13 - Column: 2
[INFO ] 2024-07-25 17:38:01,977 framework.utils.LogUtils - StartRow: 1 - EndRow: 6
[INFO ] 2024-07-25 17:38:02,615 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@61dde151
[INFO ] 2024-07-25 17:38:03,001 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@70c0a3d5
[INFO ] 2024-07-25 17:38:03,051 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@2e51d054
[INFO ] 2024-07-25 17:38:03,104 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@4743a322
[INFO ] 2024-07-25 17:38:03,157 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@a565cbd
[INFO ] 2024-07-25 17:38:03,191 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@16c587de
[INFO ] 2024-07-25 17:38:03,230 framework.utils.initializers.TestInit - *** Test Suite SpamApiAutomation ending ***
